name,ats,slug,monitor,seeded,priority,notes
Anchorage Digital,lever,anchorage,TRUE,FALSE,FALSE,fintech-crypto
BitGo,greenhouse,bitgo,TRUE,FALSE,FALSE,fintech-crypto
Blockchain.com,greenhouse,blockchain,TRUE,FALSE,FALSE,fintech-crypto
Carta,greenhouse,carta,TRUE,FALSE,FALSE,fintech-crypto
Chainalysis,ashby,chainalysis-careers,TRUE,FALSE,TRUE,fintech-crypto
Circle,ashby,circle,TRUE,FALSE,TRUE,fintech-crypto
CoinTracker,ashby,cointracker,TRUE,FALSE,FALSE,fintech-crypto
Fireblocks,greenhouse,fireblocks,TRUE,FALSE,FALSE,fintech-crypto
Galaxy Digital,greenhouse,galaxydigitalservices,TRUE,FALSE,FALSE,fintech-crypto
Gemini,greenhouse,gemini,TRUE,FALSE,FALSE,fintech-crypto
MoonPay,lever,moonpay,TRUE,FALSE,FALSE,fintech-crypto
Offchain Labs,lever,offchainlabs,TRUE,FALSE,FALSE,fintech-crypto
OpenSea,ashby,opensea,TRUE,FALSE,FALSE,fintech-crypto
Optimism,ashby,oplabs,TRUE,FALSE,FALSE,fintech-crypto
Paxos,ashby,paxos,TRUE,FALSE,TRUE,fintech-crypto
Phantom,ashby,phantom,TRUE,FALSE,FALSE,fintech-crypto
Ripple,greenhouse,ripple,TRUE,FALSE,FALSE,fintech-crypto
TaxBit,greenhouse,taxbit,TRUE,FALSE,FALSE,fintech-crypto
TRM Labs,ashby,trm-labs,TRUE,FALSE,TRUE,fintech-crypto
Uniswap Labs,ashby,uniswap,TRUE,FALSE,FALSE,fintech-crypto
Zero Hash,greenhouse,zero,TRUE,FALSE,FALSE,fintech-crypto
Akoya,greenhouse,akoya,TRUE,FALSE,FALSE,fintech-infra
Alkami,workday,alkami.wd12.myworkdayjobs.com/Alkami,TRUE,FALSE,FALSE,fintech-infra
Alpaca,greenhouse,alpaca,TRUE,FALSE,FALSE,fintech-infra
Amount,greenhouse,amount,TRUE,FALSE,FALSE,fintech-infra
Anrok,ashby,anrok,TRUE,FALSE,FALSE,fintech-infra
Array,greenhouse,array,TRUE,FALSE,FALSE,fintech-infra
Atomic,ashby,atomic,TRUE,FALSE,FALSE,fintech-infra
Blend,greenhouse,blend,TRUE,FALSE,FALSE,fintech-infra
Bolt,ashby,bolt,TRUE,FALSE,FALSE,fintech-infra
Broadridge,workday,broadridge.wd5.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,fintech-infra
Codat,ashby,codat,TRUE,FALSE,FALSE,fintech-infra
Column,ashby,column,TRUE,FALSE,TRUE,fintech-infra
